acc,rt,rt_pred,acc_pred,condition,country,id
0,6.4,2.2225820270155334,0.4318637274549098,3,7,14126
0,1.7,2.26480835450757,0.43365047571357035,3,7,14126
1,1.52,2.2040930056197663,0.43452082288008026,3,7,14126
1,1.06,2.2361290381122467,0.4261392088132198,3,7,14126
1,2.8,2.216819979191514,0.44974874371859297,3,7,14126
0,1.59,2.2364803842491243,0.44132397191574724,3,7,14126
0,1.02,2.18300069965713,0.4608826479438315,3,7,14126
0,1.92,2.1621636009710383,0.4340190667335675,3,7,14126
1,1.28,2.2259422461597294,0.43314972458688034,3,7,14126
0,1.05,2.1783658915524464,0.4373119358074223,3,7,14126
0,1.5,2.2466770239343075,0.43408521303258146,3,7,14126
1,2.23,2.1913924717114814,0.44661654135338347,3,7,14126
0,2.97,2.2040539661985976,0.4330827067669173,3,7,14126
1,2.89,2.234974837196853,0.44606121424987455,3,7,14126
0,4.0,2.258319784762625,0.43172690763052207,3,7,14126
1,2.5,2.230046783514314,0.4357429718875502,3,7,14126
