acc,rt,rt_pred,acc_pred,condition,country,id
0,0.87,0.8897807506919541,0.484,3,7,13634
0,1.31,0.8938604742994105,0.51001001001001,3,7,13634
0,0.55,0.9111419483399593,0.5035,3,7,13634
0,0.93,0.9030291833583135,0.5047523761880941,3,7,13634
0,0.89,0.9015154018424446,0.5035,3,7,13634
0,0.69,0.8932326282955734,0.5085,3,7,13634
0,0.81,0.8980408268053267,0.493,3,7,13634
0,0.63,0.9055462087717331,0.5097548774387194,3,7,13634
1,0.8,0.8987194354953061,0.5085,3,7,13634
1,0.75,0.8995865062936454,0.526,3,7,13634
1,1.19,0.9089326295415294,0.5187593796898449,3,7,13634
1,0.97,0.8911742706581783,0.5055,3,7,13634
1,1.1,0.8907740684126759,0.5317658829414708,3,7,13634
1,0.79,0.8901119410960929,0.5085,3,7,13634
1,0.75,0.8990837314604743,0.501,3,7,13634
1,1.01,0.8916707719519675,0.5087543771885943,3,7,13634
