acc,rt,rt_pred,acc_pred,condition,country,id
1,6.49,8.069581932632856,0.6971428571428572,3,8,16279
1,5.46,8.115998424727598,0.6844305120167189,3,8,16279
1,6.76,8.149392847468665,0.6763335059554635,3,8,16279
0,10.49,8.126436122155631,0.7139885595423817,3,8,16279
1,7.46,8.07647464399957,0.6808953669963561,3,8,16279
1,13.55,8.082479104727774,0.7240652975250131,3,8,16279
1,11.7,8.12661166709747,0.7073170731707317,3,8,16279
1,10.7,8.038084123947938,0.6886446886446886,3,8,16279
1,5.19,8.100536549002118,0.7001553599171414,3,8,16279
1,7.85,7.928937635410299,0.7020493956910142,3,8,16279
1,6.53,8.097436376296738,0.7117070654976793,3,8,16279
1,10.85,8.14046385369164,0.6982310093652445,3,8,16279
0,8.4,8.083315864553418,0.7089864158829676,3,8,16279
1,6.15,8.134086462486193,0.6951731374606506,3,8,16279
0,10.3,8.04368899576347,0.7020493956910142,3,8,16279
0,7.28,8.087809259885328,0.6811064718162839,3,8,16279
1,8.7,8.038461029710941,0.6802721088435374,3,8,16279
0,9.04,8.133543401456507,0.6816283924843424,3,8,16279
0,7.64,8.049516238310511,0.6845953002610966,3,8,16279
