acc,rt,rt_pred,acc_pred,condition,country,id
1,5.24,6.201141626960919,0.6670162558993183,3,13,27487
1,11.06,6.140060903889173,0.653968253968254,3,13,27487
1,7.8,6.170439748314784,0.6766247379454927,3,13,27487
1,6.73,6.184313211080721,0.669661733615222,3,13,27487
1,4.86,6.097055015673647,0.6563321071991592,3,13,27487
1,8.2,6.189536058073876,0.6637168141592921,3,13,27487
1,5.9,6.216773641195058,0.6596638655462185,3,13,27487
1,6.48,6.179971598390119,0.6713836477987422,3,13,27487
1,3.26,6.203562862448881,0.6636700158646219,3,13,27487
1,9.62,6.138718487958274,0.6516500785751702,3,13,27487
1,5.51,6.240970171766695,0.6537250786988458,3,13,27487
0,4.92,6.177401201338966,0.6503131524008351,3,13,27487
1,6.66,6.325304039227457,0.6643799472295514,3,13,27487
0,5.37,6.227705938899434,0.6614090431125131,3,13,27487
0,5.02,6.210705087910574,0.6791754756871036,3,13,27487
0,6.84,6.161741819796732,0.6654373024236038,3,13,27487
0,6.77,6.133049793915074,0.6535433070866141,3,13,27487
1,4.99,6.199454039432397,0.6317427385892116,3,13,27487
0,9.99,6.130708855203423,0.6591623036649215,3,13,27487
0,4.12,6.140716132796637,0.6764080765143464,3,13,27487
