acc,rt,rt_pred,acc_pred,condition,country,id
0,3.04,7.559805328565731,0.8962795941375423,3,7,13841
1,3.91,7.249031062477756,0.8993839835728953,3,7,13841
1,1.49,7.229570082449869,0.8896321070234113,3,7,13841
0,0.63,7.354636949803568,0.9014084507042254,3,7,13841
0,6.1,7.339264700760691,0.8964435146443515,3,7,13841
1,0.72,7.358101905143195,0.8869565217391304,3,7,13841
0,0.81,7.72601999928882,0.8866090712742981,3,7,13841
1,0.82,7.285652234466315,0.8962962962962963,3,7,13841
1,9.09,7.566498816045765,0.8765957446808511,3,7,13841
1,1.72,7.494594908452965,0.8806133625410734,3,7,13841
1,5.38,7.60116372336683,0.8800880088008801,3,7,13841
1,5.82,7.422271365664959,0.8970099667774086,3,7,13841
0,9.04,7.48637276638061,0.8897297297297297,3,7,13841
1,1.64,7.349572205841512,0.8928571428571429,3,7,13841
1,4.04,7.432574205334501,0.8865638766519823,3,7,13841
1,0.59,7.416829330329142,0.8972375690607735,3,7,13841
0,11.88,7.4938053941397476,0.8766519823788547,3,7,13841
1,3.48,7.477068302636879,0.8867276887871853,3,7,13841
