acc,rt,rt_pred,acc_pred,condition,country,id
0,9.95,9.129258176201759,0.45362392295995946,3,1,617
1,8.0,9.085304648873564,0.46491670873296315,3,1,617
0,7.37,9.140224487417198,0.4767676767676768,3,1,617
0,12.02,9.128568736215616,0.4542235710672736,3,1,617
0,9.05,9.178402275177001,0.467005076142132,3,1,617
1,7.65,9.083407084427602,0.47011144883485306,3,1,617
1,8.69,9.084698847667173,0.47619047619047616,3,1,617
1,10.66,9.095897739703009,0.44461305007587254,3,1,617
1,7.39,9.100112485598048,0.46814964610717896,3,1,617
0,8.72,9.047667486879595,0.471841704718417,3,1,617
0,8.15,9.083737741580082,0.46848209783156836,3,1,617
0,14.1,9.112112040678362,0.48258455325593136,3,1,617
1,8.21,9.16655518553558,0.47674418604651164,3,1,617
1,7.06,9.038903495528976,0.4878665318503539,3,1,617
0,9.23,9.149766401972002,0.4683864441072332,3,1,617
0,11.1,9.156034919997545,0.4949748743718593,3,1,617
1,9.1,9.109277023813851,0.44871147043961596,3,1,617
