acc,rt,rt_pred,acc_pred,condition,country,id
1,10.58,9.183828178413544,0.6852425180598555,3,11,23103
0,8.32,9.011667680063123,0.6709511568123393,3,11,23103
1,8.87,9.06872242697306,0.6818181818181818,3,11,23103
0,6.1,9.131102178720754,0.6817713697219362,3,11,23103
1,9.71,9.095784517400604,0.6937307297019527,3,11,23103
0,5.27,9.088400798949442,0.6915167095115681,3,11,23103
0,15.15,9.118352343966366,0.6909937888198758,3,11,23103
1,4.09,9.09564142436848,0.6948717948717948,3,11,23103
1,10.4,9.248045899089778,0.6920289855072463,3,11,23103
0,12.53,8.896853083942151,0.6928571428571428,3,11,23103
0,7.48,8.999557186503317,0.6781491002570694,3,11,23103
1,5.97,8.991821153109909,0.6896197327852004,3,11,23103
1,5.6,9.11798675961201,0.7002042900919305,3,11,23103
1,4.45,9.214302631246573,0.6948018528049408,3,11,23103
1,10.84,9.128561525955398,0.6873398257303946,3,11,23103
1,17.86,8.874557531517182,0.6874356333676622,3,11,23103
1,4.64,9.09871497725135,0.6958762886597938,3,11,23103
1,21.91,9.268869062617553,0.6828893442622951,3,11,23103
1,11.77,9.159096774908148,0.68118913377755,3,11,23103
