acc,rt,rt_pred,acc_pred,condition,country,id
1,8.13,6.538461111662752,0.75,3,14,28736
1,4.1,6.756316980918663,0.7370390165686799,3,14,28736
1,6.46,6.569166187620049,0.7492063492063492,3,14,28736
1,6.14,6.562612394910909,0.7397043294614573,3,14,28736
1,3.7,6.523455561898961,0.740916271721959,3,14,28736
1,5.93,6.609954538388663,0.7440507667900582,3,14,28736
1,10.3,6.571918117161912,0.7245918904686677,3,14,28736
1,4.83,6.551141876489686,0.7291220556745182,3,14,28736
1,5.48,6.655187514185479,0.7264502394890899,3,14,28736
1,7.54,6.571296730595112,0.733652312599681,3,14,28736
0,7.55,6.568500626422906,0.7305039787798409,3,14,28736
0,5.55,6.550258824358362,0.7477477477477478,3,14,28736
1,6.94,6.5445976619101796,0.7505353319057816,3,14,28736
0,9.3,6.675680665714122,0.7365879828326181,3,14,28736
1,6.36,6.58055363018985,0.747624076029567,3,14,28736
1,8.85,6.576719903518556,0.7184672698243747,3,14,28736
0,11.22,6.59446110464865,0.7359192348565357,3,14,28736
0,6.69,6.593927315253405,0.7299308878256247,3,14,28736
